date,company,deliveries,on_time_rate,avg_delivery_min,distance_km,fuel_l_per_100km,idle_min_per_vehicle,app_latency_ms,incidents,tickets_opened,tickets_resolved,csat,late_deliveries,fuel_total_liters,fuel_per_delivery_l
2025-01-01,MarsLog,163,0.9445,58.22,2286.6,25.67,13.67,317,1,3,3,3.46,9,586.97022,3.6010442944785277
2025-01-01,OrionCargo,187,0.98,39.17,2357.44,23.27,13.09,206,2,6,6,3.99,4,548.576288,2.933563037433155
2025-01-01,VegaTrans,135,0.9383,50.81,1834.18,26.52,10.48,257,1,0,0,4.01,8,486.424536,3.6031447111111112
2025-01-02,MarsLog,159,0.8942,42.02,3823.4,19.41,9.43,334,1,5,4,4.14,17,742.12194,4.667433584905661
2025-01-02,OrionCargo,153,0.9667,48.28,2164.72,19.18,12.16,237,1,7,5,3.91,5,415.193296,2.7136816732026143
2025-01-02,VegaTrans,146,0.925,45.58,1872.63,24.67,8.32,187,3,5,5,3.39,11,461.97782100000006,3.1642316506849317
2025-01-03,MarsLog,128,0.98,50.11,2267.06,22.59,12.8,245,1,1,0,3.84,3,512.128854,4.001006671875
2025-01-03,OrionCargo,189,0.9292,49.71,4552.27,20.66,14.71,327,2,5,4,3.96,13,940.4989820000002,4.976185089947091
2025-01-03,VegaTrans,143,0.9154,53.22,2920.06,23.11,9.36,229,1,1,0,3.92,12,674.8258659999999,4.719061999999999
2025-01-04,MarsLog,140,0.927,42.04,1798.1,25.08,9.35,209,2,4,2,3.74,10,450.96347999999995,3.221167714285714
2025-01-04,OrionCargo,164,0.9395,50.96,3011.51,20.83,17.18,302,0,2,1,4.12,10,627.2975329999999,3.824984957317073
2025-01-04,VegaTrans,167,0.98,47.86,2092.52,20.34,19.03,304,0,0,0,3.72,3,425.618568,2.5486141796407185
2025-01-05,MarsLog,166,0.9132,58.53,2288.77,21.56,9.74,241,2,8,8,3.78,14,493.45881199999997,2.9726434457831323
2025-01-05,OrionCargo,110,0.9545,60.19,1589.85,22.22,16.31,191,2,5,4,4.28,5,353.26466999999997,3.2114969999999996
2025-01-05,VegaTrans,128,0.906,37.63,3190.78,19.97,7.62,259,1,0,0,3.97,12,637.198766,4.978115359375
2025-01-06,MarsLog,119,0.9188,59.99,2404.37,21.34,12.86,346,1,5,3,3.3,10,513.0925579999999,4.311702168067226
2025-01-06,OrionCargo,191,0.9655,43.32,4485.72,21.2,14.77,137,2,2,2,3.46,7,950.9726400000001,4.978914345549739
2025-01-06,VegaTrans,130,0.9291,58.82,2736.29,22.14,9.17,267,2,7,7,3.64,9,605.814606,4.660112353846154
2025-01-07,MarsLog,166,0.98,49.8,2544.89,18.0,9.27,264,0,1,0,3.87,3,458.0802,2.7595192771084336
2025-01-07,OrionCargo,160,0.9566,47.24,2115.48,18.08,10.49,260,1,6,5,3.1,7,382.478784,2.3904924000000003
2025-01-07,VegaTrans,163,0.8743,61.18,2531.4,20.8,13.07,296,1,9,9,3.28,20,526.5312,3.2302527607361964
2025-01-08,MarsLog,152,0.9299,64.11,2319.7,20.83,19.83,217,0,4,3,3.91,11,483.19350999999995,3.1789046710526314
2025-01-08,OrionCargo,160,0.9725,66.72,2826.2,22.35,7.54,267,0,2,0,3.59,4,631.6557,3.947848125
2025-01-08,VegaTrans,149,0.98,53.68,2705.11,19.43,11.19,177,1,3,1,3.74,3,525.602873,3.527536060402685
2025-01-09,MarsLog,220,0.9526,60.05,5339.53,25.7,17.16,287,2,8,6,3.82,10,1372.25921,6.2375418636363635
2025-01-09,OrionCargo,168,0.98,49.79,2484.66,19.59,10.53,245,1,1,0,4.24,3,486.744894,2.897291035714286
2025-01-09,VegaTrans,140,0.935,60.19,3277.0,25.53,15.9,295,0,5,3,3.38,9,836.6181000000001,5.975843571428572
2025-01-10,MarsLog,156,0.9537,61.86,2563.15,20.36,18.67,229,1,4,4,3.98,7,521.85734,3.345239358974359
2025-01-10,OrionCargo,173,0.9366,56.4,4213.92,21.56,20.28,321,1,8,8,3.21,11,908.521152,5.251567352601156
2025-01-10,VegaTrans,172,0.9741,53.81,2192.7,19.53,5.0,359,1,7,7,4.16,4,428.23431,2.4897343604651163
2025-01-11,MarsLog,151,0.98,50.77,3562.79,18.37,12.38,181,0,7,6,3.78,3,654.484523,4.334334589403973
2025-01-11,OrionCargo,139,0.9403,56.26,2434.57,25.57,11.39,256,1,7,7,3.91,8,622.519549,4.47855790647482
2025-01-11,VegaTrans,144,0.892,50.04,2717.11,21.91,18.52,245,2,3,1,3.66,16,595.318801,4.134158340277778
2025-01-12,MarsLog,158,0.9685,62.68,2829.63,24.19,17.12,362,1,4,4,4.02,5,684.4874970000001,4.332199348101266
2025-01-12,OrionCargo,137,0.9246,41.89,2683.49,20.61,5.1,280,2,0,0,4.25,10,553.067289,4.036987510948904
2025-01-12,VegaTrans,156,0.9373,56.21,2644.45,19.14,12.17,331,1,4,4,3.65,10,506.14772999999997,3.2445367307692305
2025-01-13,MarsLog,181,0.98,45.7,2654.47,20.17,8.81,196,0,6,5,3.87,4,535.406599,2.958047508287293
2025-01-13,OrionCargo,138,0.9362,55.91,3041.54,27.01,17.36,261,1,3,1,3.97,9,821.519954,5.953043144927536
2025-01-13,VegaTrans,196,0.98,51.2,2389.06,20.9,16.43,146,1,5,4,3.95,4,499.31353999999993,2.5475180612244896
2025-01-14,MarsLog,181,0.9439,55.66,3813.55,18.0,11.78,341,2,5,4,3.47,10,686.439,3.7924806629834253
2025-01-14,OrionCargo,187,0.8904,54.41,2557.31,21.84,14.56,206,0,7,5,3.46,20,558.516504,2.986719272727273
2025-01-14,VegaTrans,171,0.9487,46.08,3878.84,23.11,7.39,178,0,10,9,4.48,9,896.399924,5.24210481871345
2025-01-15,MarsLog,129,0.9014,54.73,2701.41,19.75,8.08,264,1,4,2,3.59,13,533.528475,4.13587965116279
2025-01-15,OrionCargo,153,0.8557,46.57,2755.98,25.55,16.85,208,2,4,2,3.17,22,704.15289,4.602306470588235
2025-01-15,VegaTrans,138,0.9387,49.79,2667.75,23.32,6.37,269,1,8,7,3.18,8,622.1193,4.5081108695652174
2025-01-16,MarsLog,162,0.913,63.94,2853.08,23.31,11.32,220,1,0,0,3.92,14,665.0529479999999,4.105265111111111
2025-01-16,OrionCargo,173,0.9397,53.17,3989.49,18.0,13.3,311,1,5,4,3.79,10,718.1082,4.150914450867052
